,,,,mae,mae,rmse,rmse,r2,r2,spearman,spearman
,,,,mean,std,mean,std,mean,std,mean,std
analysis,domain,model,group,,,,,,,,
area,osm,direct_no_coordinates,viasm,0.06931883136371104,0.017939631830351136,0.19495224225447033,0.04232798264287355,0.8169078869635644,0.07597496731412114,0.840689429142371,0.030770792566715714
area,osm,direct_no_fiedler,cantho,0.04598706177532105,0.018988844351100376,0.12074785976669641,0.056335102431232575,0.9173610501012943,0.07797861315603659,0.8839728219408945,0.024785258400998284
area,osm,direct_no_fiedler,dalat,0.18528427780708795,0.013151818285467924,0.3864521578983801,0.01574420041226984,-0.7312572889496016,0.2383460413000393,0.6421730846342119,0.04902281513946368
area,osm,direct_no_fiedler,danang,0.0889722305564387,0.01844382035975345,0.24914418115691803,0.03497226746339063,0.6988695862975833,0.08395531691465094,0.869583776096607,0.03771422675516334
area,osm,direct_no_fiedler,hcmus,0.0906263650337092,0.01370257735813553,0.2391452848664275,0.02388216040207857,0.7056071590148674,0.06186845636230234,0.8858077461650101,0.029432437911027346
area,osm,direct_no_fiedler,viasm,0.06293354216233943,0.012708865591882258,0.18114052771880504,0.0373040240375425,0.842355875417482,0.06480545021947522,0.8401229888650954,0.02413603698620478
area,osm,residual_full,cantho,0.04137844485251223,0.023455233670308762,0.11671706386111491,0.06500856313055156,0.9178928691867412,0.09292601009225139,0.9450765985732176,0.01998638922078441
area,osm,residual_full,dalat,0.18898153858244895,0.015527214176462344,0.3884836509953679,0.015509549350250777,-0.7367202965362242,0.07456808725995837,0.6584928756743239,0.01445714927084875
area,osm,residual_full,danang,0.08809056375462443,0.04277707773256904,0.24367533697705443,0.06680447434929666,0.7005442760146207,0.17436620786359286,0.8968805616392815,0.02384030516462532
area,osm,residual_full,hcmus,0.08935492139230587,0.017016603887168632,0.2373875127826021,0.030417789103769993,0.7093848960935686,0.071088732334738,0.9296432686813642,0.019562027553117676
area,osm,residual_full,viasm,0.0608864711748028,0.02095846394684717,0.1842514965747711,0.045340774014695946,0.8344106466250732,0.08209148737130534,0.9020949629861741,0.0387706955149442
area,osm,residual_no_coordinates,cantho,0.036214706716175764,0.005829993625383245,0.10679117622316972,0.02585777375520199,0.9423922477272958,0.026037906848574238,0.9454098622180915,0.010942610973134323
area,osm,residual_no_coordinates,dalat,0.1976217934099557,0.0300422818329186,0.39631494281428836,0.038652946244074685,-0.8202277822870551,0.35048913727121017,0.6553775379695532,0.023425919357587918
