seed,domain,model,group,mae,rmse,r2,spearman,analysis
55,synthetic,direct_no_fiedler,1,0.05960393844694482,0.18821937663995564,-0.017728462418859836,0.08547850785368927,failure_count_group
55,synthetic,direct_no_fiedler,2-3,0.054389851443483773,0.1520087561513457,0.6563377326031661,0.44638382293336115,failure_count_group
55,synthetic,direct_no_fiedler,4-5,0.08039997596219448,0.1558277553981835,0.7664811642872109,0.3937481685461856,failure_count_group
55,synthetic,direct_no_fiedler,6+,0.06765738518810069,0.09622870746243978,0.9158065700235589,0.5351838952275552,failure_count_group
55,synthetic,residual_full,1,0.03330025169036547,0.1432421940147089,0.410552421758998,0.5287311701103931,failure_count_group
55,synthetic,residual_full,2-3,0.03848137853015904,0.1455015471539549,0.6851310302537683,0.6648157387206023,failure_count_group
55,synthetic,residual_full,4-5,0.05981440781724924,0.15897238161818658,0.7569611800193334,0.6809801988290649,failure_count_group
55,synthetic,residual_full,6+,0.04480217672404234,0.07770574067431217,0.9450996508212972,0.7946804378782969,failure_count_group
55,synthetic,residual_no_coordinates,1,0.03242497188107077,0.14087650820806838,0.4298614378939004,0.39435185385599214,failure_count_group
55,synthetic,residual_no_coordinates,2-3,0.03247227550465569,0.1082464471620563,0.8257302763809167,0.6661040284634876,failure_count_group
55,synthetic,residual_no_coordinates,4-5,0.07500412220264971,0.17416183946835948,0.7082987482805805,0.6539479047319542,failure_count_group
55,synthetic,residual_no_coordinates,6+,0.04903743350748042,0.060007327844133346,0.9672600905774652,0.7780773759748794,failure_count_group
55,synthetic,residual_no_fiedler,1,0.03325258445822579,0.13917054587448416,0.4435861646054706,0.4239990255150015,failure_count_group
55,synthetic,residual_no_fiedler,2-3,0.047857640256789034,0.1508611584527092,0.6615071362429692,0.6315232772220005,failure_count_group
55,synthetic,residual_no_fiedler,4-5,0.08128439023772546,0.16939248024133102,0.7240562634867223,0.6360137004158648,failure_count_group
55,synthetic,residual_no_fiedler,6+,0.05977528697843409,0.08027458920745424,0.9414097863742692,0.7368641109658353,failure_count_group
55,synthetic,spectral,1,0.030597876624085023,0.1417400042855006,0.42285074148474877,0.9847290640394086,failure_count_group
55,synthetic,spectral,2-3,0.07146647067847015,0.2393000054067664,0.1483129233714796,0.9307626509427707,failure_count_group
55,synthetic,spectral,4-5,0.12288819393152105,0.3130929249577004,0.057288522929955676,0.776486526444887,failure_count_group
55,synthetic,spectral,6+,0.14897845161325332,0.35329916407461553,-0.13489091026779398,0.689314198125189,failure_count_group
55,synthetic,summary_mlp,1,0.058964248489157566,0.18664303858374437,-0.0007528864530466084,0.06478630422340138,failure_count_group
55,synthetic,summary_mlp,2-3,0.06585553775029894,0.17540084372225218,0.5424295216912254,0.3801883971311357,failure_count_group
55,synthetic,summary_mlp,4-5,0.1316815547533843,0.2469865082769644,0.4133504423140292,0.222957633900412,failure_count_group
55,synthetic,summary_mlp,6+,0.09929704821115555,0.1954570735107711,0.6526464979327915,0.2691395165400642,failure_count_group
11,osm,deepsets,Q1,0.08078803712078425,0.1727877221362859,0.8563027214647994,0.7671783440975527,density_quartile
11,osm,deepsets,Q2,0.12249099736574057,0.26644689128198645,0.6553033945906699,0.8078518593622511,density_quartile
11,osm,deepsets,Q3,0.08289628176529336,0.2027768120466536,0.8105773311373868,0.8314258922560096,density_quartile
