seed,domain,failure_mode,model,mae,rmse,r2,spearman
33,synthetic,independent,residual_no_fiedler,0.04380768477932357,0.06688957667246945,0.9243926731096784,0.889994079106148
33,synthetic,spatial_cluster,residual_no_fiedler,0.08090348916100706,0.18055041642229835,0.7874904806347358,0.8476535768757834
33,osm,independent,residual_no_fiedler,0.0971658221813415,0.2571716539264116,0.6885217003514013,0.9139971166828069
33,osm,spatial_cluster,residual_no_fiedler,0.057793045006719994,0.19422079884043397,0.8072115066159906,0.9354947493802684
33,synthetic,independent,residual_no_coordinates,0.029929114344313015,0.06508255263158334,0.9284225626600137,0.8945584393392599
33,synthetic,spatial_cluster,residual_no_coordinates,0.07054547108401961,0.19418152093439592,0.7541913299883065,0.8691478847733483
33,osm,independent,residual_no_coordinates,0.10339472185417861,0.2701753457142255,0.6562259970815758,0.899490141336609
33,osm,spatial_cluster,residual_no_coordinates,0.14590407721218712,0.3413389881732662,0.40452788247793847,0.8601328518418884
33,synthetic,independent,deepsets,0.07697815949971884,0.18761323660618467,0.40519591786429554,0.3357017852176876
33,synthetic,spatial_cluster,deepsets,0.1375451562013802,0.255634832558134,0.5739883651385975,0.6801009645356517
33,osm,independent,deepsets,0.1282291888351306,0.28357233372512525,0.6212877841451885,0.7202321294716101
33,osm,spatial_cluster,deepsets,0.1717854625199159,0.2872391353319664,0.5783259660030143,0.7856311658721378
33,synthetic,independent,summary_mlp,0.07945199695931235,0.17583707004867616,0.47752217117548157,0.6570516245368082
33,synthetic,spatial_cluster,summary_mlp,0.14046668072395813,0.24865485114516422,0.5969348280286944,0.7657347383615184
33,osm,independent,summary_mlp,0.28538278191371536,0.4342813564396617,0.11177299977166155,0.8196452465435328
33,osm,spatial_cluster,summary_mlp,0.33864319595124814,0.4662498293159142,-0.11103312878219551,0.806837759806143
33,synthetic,independent,spectral,0.08183995710531751,0.23591083767097165,0.05953470398880789,0.9311621425363478
33,synthetic,spatial_cluster,spectral,0.21244912930204424,0.4158140132110435,-0.12714462073142463,0.7554687215270184
