domain,failure_mode,model,mae_mean,mae_sd,mae_ci_low,mae_ci_high,rmse_mean,rmse_sd,rmse_ci_low,rmse_ci_high,r2_mean,r2_sd,r2_ci_low,r2_ci_high,spearman_mean,spearman_sd,spearman_ci_low,spearman_ci_high
synthetic,independent,residual_no_fiedler,0.051941213800560826,0.014083185460625758,0.042790882266690644,0.06420731120002868,0.12093090695689057,0.05424557696147575,0.08121156244686754,0.16522516784287405,0.6726298770245317,0.21337361991099232,0.512426823422415,0.8405062543498621,0.8396502158547129,0.067145122142445,0.7873610027082558,0.8919394290011697
synthetic,independent,spectral,0.069461992297184,0.02994906045763349,0.04780829692749054,0.09475709742115615,0.21417528111646006,0.060790115159879914,0.1713515938976449,0.26540867236661614,0.11043278379385506,0.10040269258357765,0.033273345412922525,0.1954548852815502,0.9413337346161631,0.02046367634445749,0.9268798735579182,0.9594763435772118
synthetic,independent,summary_mlp,0.06469505920208728,0.01831711748515062,0.05076180749318757,0.07919230489269909,0.15761646319087044,0.03716275979547992,0.13083088943100446,0.1898939036752978,0.504984420000438,0.08964521440923645,0.44294771550938694,0.5800797073619783,0.5929716261762217,0.09580484975784088,0.5076247366021753,0.6518990602846466
synthetic,spatial_cluster,deepsets,0.10471155033473419,0.026524539551593847,0.08472722799152456,0.12594148548561204,0.2000747219007723,0.04242086042585894,0.16783129743694675,0.23231814636459786,0.649293697771139,0.048162594622337615,0.6100477183061684,0.6832368307424862,0.5931365062135647,0.08645122116617723,0.525161985611329,0.6611110268158005
synthetic,spatial_cluster,direct_full,0.08091940668582284,0.018514140958897824,0.06663814059895418,0.0970521914705894,0.1802869509404303,0.03707173532254779,0.14844839381228686,0.20594954376143013,0.7145409164672413,0.04548962663597008,0.6810079463419245,0.748073886592558,0.5488408294384806,0.08696810782683376,0.48014090364812567,0.6175407552288356
synthetic,spatial_cluster,direct_no_coordinates,0.07953476311817734,0.016501722873208998,0.06655781292091664,0.09251171331543802,0.18169790084437729,0.0330601065455666,0.15572513617381906,0.2076706655149355,0.7081387197827949,0.03962638322839922,0.6772845725789407,0.7389928669866491,0.6019718389934623,0.09939700247925129,0.5194635754038123,0.6739225791928802
synthetic,spatial_cluster,direct_no_fiedler,0.08501367412149814,0.019489472528759693,0.06749177222786318,0.09731961882473092,0.17970188680425433,0.03838094945462497,0.14481598654377745,0.2030463405627509,0.7109546687312867,0.08979395579581832,0.6339410248376625,0.7743037958655394,0.6130728651191122,0.09979366782457418,0.5319366953205557,0.6857432766679254
synthetic,spatial_cluster,residual_full,0.06493079353400036,0.019612467261861145,0.04874297010151655,0.0790956667102767,0.15647820771292537,0.03373132660762985,0.12813357028542396,0.18252433783181088,0.7762580297263236,0.08592660989833956,0.6996559334773733,0.8348474410806619,0.7004761619595884,0.13986623816299365,0.5904557036042392,0.8016169711974224
synthetic,spatial_cluster,residual_no_coordinates,0.05761931498627931,0.014314150046222818,0.04554142740726598,0.0677499944655391,0.15166079792711698,0.03393859897841482,0.122457530169548,0.1760313618974209,0.7988012496560508,0.034899071581763995,0.7702193369570961,0.8245732407508928,0.7633083787818566,0.07326043177961147,0.7114509166850188,0.8241477117075877
synthetic,spatial_cluster,residual_no_fiedler,0.06221544132172824,0.01612542450713006,0.04891198235636381,0.07401804302322221,0.14997176863277312,0.025206948949900162,0.1303589891727044,0.16958454809284187,0.8004273576788853,0.023908672059546884,0.7859839647085011,0.8221463604125624,0.7469489454314028,0.07123723689625841,0.6959258366079789,0.8013411345665977
synthetic,spatial_cluster,spectral,0.14404072672901375,0.0528583542408758,0.10249709189742388,0.18349813964855535,0.3350392144424863,0.07383541105029703,0.2746367524489791,0.3908550019790058,0.021982413025678892,0.12801121490669762,-0.07157254199115855,0.13108957158489135,0.8602697588657326,0.08186240091886104,0.7994351292410657,0.9250597738160774
synthetic,spatial_cluster,summary_mlp,0.10847893851828402,0.03401132738362008,0.08162436933277724,0.1353335077037908,0.20359384996775737,0.05412990669160847,0.1610848432876864,0.24610285664782836,0.6407457149810318,0.08115090134622226,0.5727343711055928,0.7018200102203853,0.609833684358606,0.11877212193978548,0.5151193767713087,0.6978080483762413
