area,country,nodes,edges,seed,failure_mode,model,mae,n,eigengap
bangkok,Thailand,1072.0,1457.0,11,targeted,residual_edge_mpnn,0.24032493291235188,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,targeted,residual_full,0.22682800995842314,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,targeted,residual_sage,0.23873914833447946,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,targeted,spectral,0.3096279025917446,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,11,targeted,spectral_second_order,0.3092691553369133,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,independent,direct_edge_mpnn,0.11435487450947017,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,independent,direct_full,0.13504545486188463,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,independent,direct_sage,0.12688007301307253,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,independent,residual_edge_mpnn,0.1264797572291546,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,independent,residual_full,0.09616959420428199,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,independent,residual_sage,0.10023975322896876,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,independent,spectral,0.30199004451521605,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,independent,spectral_second_order,0.3019463237132766,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,spatial_cluster,direct_edge_mpnn,0.07070807442822317,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,spatial_cluster,direct_full,0.04191218417425463,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,spatial_cluster,direct_sage,0.07842020586420606,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,spatial_cluster,residual_edge_mpnn,0.07948660932768892,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,spatial_cluster,residual_full,0.01502477276782679,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,spatial_cluster,residual_sage,0.02962114719309611,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,spatial_cluster,spectral,0.6997943539194399,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,spatial_cluster,spectral_second_order,0.6997319244201079,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,targeted,direct_edge_mpnn,0.030481318300678534,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,targeted,direct_full,0.06639803754527154,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,targeted,direct_sage,0.035874764131272496,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,targeted,residual_edge_mpnn,0.032763738286444265,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,targeted,residual_full,0.04553101243864962,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,targeted,residual_sage,0.03944887435710277,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,targeted,spectral,0.28676187088375416,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,22,targeted,spectral_second_order,0.2859576006746401,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,independent,direct_edge_mpnn,0.552813588458983,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,independent,direct_full,0.09192126392951822,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,independent,direct_sage,0.08918468262633897,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,independent,residual_edge_mpnn,0.08668234087160445,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,independent,residual_full,0.052813588458982916,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,independent,residual_sage,0.052594506557969066,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,independent,spectral,0.5509095736767876,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,independent,spectral_second_order,0.5508476592239061,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,spatial_cluster,direct_edge_mpnn,0.45431750287541905,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,spatial_cluster,direct_full,0.14789479858001908,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,spatial_cluster,direct_sage,0.1527308652060314,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,spatial_cluster,residual_edge_mpnn,0.2418398283304854,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,spatial_cluster,residual_full,0.10043727738091505,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,spatial_cluster,residual_sage,0.11216091762081126,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,spatial_cluster,spectral,0.45232640986131784,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,spatial_cluster,spectral_second_order,0.4521771980107525,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,targeted,direct_edge_mpnn,0.33796994175176537,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,targeted,direct_full,0.12409498982970397,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,targeted,direct_sage,0.12581590962768702,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,targeted,residual_edge_mpnn,0.12638748435300204,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,targeted,residual_full,0.11945074686195174,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,targeted,residual_sage,0.11755464217971483,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,targeted,spectral,0.307499880373972,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,33,targeted,spectral_second_order,0.3054092568944399,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,independent,direct_edge_mpnn,0.2063860272884992,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,independent,direct_full,0.21012480649060286,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,independent,direct_sage,0.20306682082718885,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,independent,residual_edge_mpnn,0.19621998266211424,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,independent,residual_full,0.2030983122169348,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,independent,residual_sage,0.18538113319209493,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,independent,spectral,0.6499757554058917,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,independent,spectral_second_order,0.6499044243134696,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,spatial_cluster,direct_edge_mpnn,0.09375472737285731,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,spatial_cluster,direct_full,0.0764517186004245,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,spatial_cluster,direct_sage,0.091784380169543,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,spatial_cluster,residual_edge_mpnn,0.023466226065489027,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,spatial_cluster,residual_full,0.003175611628261808,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,spatial_cluster,residual_sage,0.05109473949107762,20,0.5923173656377744
