domain,area,seed,graph_id,failure_mode,model,eigengap,mae,eigengap_bin
osm,george_town,22,1000701,spatial_cluster,residual_sage,0.5954596397913756,0.015483021891574425,medium
osm,george_town,22,1000701,spatial_cluster,spectral,0.5954596397913756,0.6129627450918631,medium
osm,george_town,22,1000701,spatial_cluster,spectral_second_order,0.5954596397913756,0.6128944738480253,medium
osm,george_town,22,1000702,targeted,direct_edge_mpnn,0.5954596397913756,0.44057282715286483,medium
osm,george_town,22,1000702,targeted,direct_full,0.5954596397913756,0.07607205033687058,medium
osm,george_town,22,1000702,targeted,direct_sage,0.5954596397913756,0.05709271029022637,medium
osm,george_town,22,1000702,targeted,residual_edge_mpnn,0.5954596397913756,0.05177804048468054,medium
osm,george_town,22,1000702,targeted,residual_full,0.5954596397913756,0.051742755778176844,medium
osm,george_town,22,1000702,targeted,residual_sage,0.5954596397913756,0.043971589305946766,medium
osm,george_town,22,1000702,targeted,spectral,0.5954596397913756,0.14064400537621802,medium
osm,george_town,22,1000702,targeted,spectral_second_order,0.5954596397913756,0.14006372190901759,medium
osm,george_town,33,1000700,independent,direct_edge_mpnn,0.5954596397913756,0.357118673876167,medium
osm,george_town,33,1000700,independent,direct_full,0.5954596397913756,0.15475528289353777,medium
osm,george_town,33,1000700,independent,direct_sage,0.5954596397913756,0.10849975022892928,medium
osm,george_town,33,1000700,independent,residual_edge_mpnn,0.5954596397913756,0.1918351640251868,medium
osm,george_town,33,1000700,independent,residual_full,0.5954596397913756,0.15711867387616701,medium
osm,george_town,33,1000700,independent,residual_sage,0.5954596397913756,0.1558069396098207,medium
osm,george_town,33,1000700,independent,spectral,0.5954596397913756,0.3551031508968222,medium
osm,george_town,33,1000700,independent,spectral_second_order,0.5954596397913756,0.3550486056945147,medium
osm,george_town,33,1000701,spatial_cluster,direct_edge_mpnn,0.5954596397913756,0.4507957692439981,medium
osm,george_town,33,1000701,spatial_cluster,direct_full,0.5954596397913756,0.027410878129737814,medium
osm,george_town,33,1000701,spatial_cluster,direct_sage,0.5954596397913756,0.016890299208896585,medium
osm,george_town,33,1000701,spatial_cluster,residual_edge_mpnn,0.5954596397913756,0.20728423491163778,medium
osm,george_town,33,1000701,spatial_cluster,residual_full,0.5954596397913756,0.0007957692439980689,medium
osm,george_town,33,1000701,spatial_cluster,residual_sage,0.5954596397913756,0.0022687251861520054,medium
osm,george_town,33,1000701,spatial_cluster,spectral,0.5954596397913756,0.4495481791508961,medium
osm,george_town,33,1000701,spatial_cluster,spectral_second_order,0.5954596397913756,0.4495139046740366,medium
osm,george_town,33,1000702,targeted,direct_edge_mpnn,0.5954596397913756,0.36837814653016093,medium
osm,george_town,33,1000702,targeted,direct_full,0.5954596397913756,0.06586545611932201,medium
osm,george_town,33,1000702,targeted,direct_sage,0.5954596397913756,0.06266960343948642,medium
osm,george_town,33,1000702,targeted,residual_edge_mpnn,0.5954596397913756,0.14484355589344228,medium
osm,george_town,33,1000702,targeted,residual_full,0.5954596397913756,0.06632589914559785,medium
osm,george_town,33,1000702,targeted,residual_sage,0.5954596397913756,0.06209333766208429,medium
osm,george_town,33,1000702,targeted,spectral,0.5954596397913756,0.35943470448964926,medium
osm,george_town,33,1000702,targeted,spectral_second_order,0.5954596397913756,0.35908556595573476,medium
osm,george_town,44,1000700,independent,direct_edge_mpnn,0.5954596397913756,0.05576609976807195,medium
