test_country,seed,failure_mode,model,mae,areas,n
Thailand,44,independent,residual_full,0.012747873235779262,2,16
Thailand,44,spatial_cluster,direct_full,0.06013340659428064,2,16
Thailand,44,spatial_cluster,residual_full,0.021615584315617102,2,16
Thailand,44,targeted,direct_full,0.20820665567667795,2,16
Thailand,44,targeted,residual_full,0.15443931003451256,2,16
Thailand,55,independent,direct_full,0.08114794633908959,2,16
Thailand,55,independent,residual_full,0.08853068465563217,2,16
Thailand,55,spatial_cluster,direct_full,0.009731133471358608,2,16
Thailand,55,spatial_cluster,residual_full,0.04735636898901222,2,16
Thailand,55,targeted,direct_full,0.14437693492027356,2,16
Thailand,55,targeted,residual_full,0.13116194552426014,2,16
Vietnam,11,independent,direct_full,0.12335573166316931,5,40
Vietnam,11,independent,residual_full,0.11580346866952855,5,40
Vietnam,11,spatial_cluster,direct_full,0.05642886000506264,5,40
Vietnam,11,spatial_cluster,residual_full,0.041323409062186386,5,40
Vietnam,11,targeted,direct_full,0.21532500846048733,5,40
Vietnam,11,targeted,residual_full,0.19171775187283951,5,40
Vietnam,22,independent,direct_full,0.46373096157041643,5,40
Vietnam,22,independent,residual_full,0.09383482052127445,5,40
Vietnam,22,spatial_cluster,direct_full,0.5316274306914522,5,40
Vietnam,22,spatial_cluster,residual_full,0.08472167745590908,5,40
Vietnam,22,targeted,direct_full,0.3268318303238329,5,40
Vietnam,22,targeted,residual_full,0.25180275636607186,5,40
Vietnam,33,independent,direct_full,0.14154973939282373,5,40
Vietnam,33,independent,residual_full,0.1246462423638248,5,40
Vietnam,33,spatial_cluster,direct_full,0.04874835658737318,5,40
Vietnam,33,spatial_cluster,residual_full,0.0335483094855477,5,40
Vietnam,33,targeted,direct_full,0.19530281511236738,5,40
Vietnam,33,targeted,residual_full,0.15855442004695983,5,40
Vietnam,44,independent,direct_full,0.10221683071511409,5,40
Vietnam,44,independent,residual_full,0.10386511715969646,5,40
Vietnam,44,spatial_cluster,direct_full,0.09707843768308536,5,40
Vietnam,44,spatial_cluster,residual_full,0.11627483406580734,5,40
Vietnam,44,targeted,direct_full,0.19733093315195968,5,40
Vietnam,44,targeted,residual_full,0.1979306580053603,5,40
Vietnam,55,independent,direct_full,0.14233940454956573,5,40
Vietnam,55,independent,residual_full,0.5450007413371477,5,40
Vietnam,55,spatial_cluster,direct_full,0.07963300658471988,5,40
Vietnam,55,spatial_cluster,residual_full,0.627691543670787,5,40
Vietnam,55,targeted,direct_full,0.1946249985083416,5,40
Vietnam,55,targeted,residual_full,0.41906200078720596,5,40
